ImmediateAmount,ImmediateDelay,DelayedAmount,DelayedDelay,DelayedDelay_Month,NowOnLeft,AttentionCheck
90000,0,85000,5,11,1,1
76000,0,70000,0,7,1,1
62000,0,58000,6,5,0,1
26000,0,19000,7,2,1,1
68000,0,54000,2,3,0,1
54000,0,55000,6,5,0,0
55000,0,75000,3,4,1,0
19000,0,25000,2,11,0,0
31000,0,85000,0,5,0,0
14000,0,25000,1,0,1,0
47000,0,50000,8,10,1,0
15000,0,35000,0,8,0,0
25000,0,60000,0,10,0,0
78000,0,80000,8,11,0,0
40000,0,55000,3,5,1,0
11000,0,30000,0,5,0,0
67000,0,75000,6,6,1,0
34000,0,35000,10,2,0,0
27000,0,50000,1,2,0,0
69000,0,85000,5,0,0,0
49000,0,60000,4,11,1,0
80000,0,85000,8,7,1,0
24000,0,35000,1,7,0,0
33000,0,80000,0,10,0,0
28000,0,30000,9,10,0,0
34000,0,50000,1,7,0,0
25000,0,30000,4,5,1,0
41000,0,75000,1,1,0,0
54000,0,60000,6,1,0,0
54000,0,80000,1,7,0,0
22000,0,25000,7,6,0,0
20000,0,55000,0,5,1,0
