ImmediateAmount_Short,ImmediateDelay,DelayedAmount_Short,DelayedDelay_Days,DelayedDelay_Years,DelayedDelay_Months,AttentionCheck,QuestionMap
90000,0,85000,,5,11,1,0
76000,0,70000,,0,7,1,0
62000,0,58000,,6,5,1,0
90,0,75,26,,,1,0
65,0,55,46,,,1,0
40,0,35,34,,,1,0
54000,0,55000,,6,5,0,1
55000,0,75000,,3,4,0,2
19000,0,25000,,2,11,0,3
31000,0,85000,,0,5,0,4
14000,0,25000,,1,0,0,5
47000,0,50000,,8,10,0,6
15000,0,35000,,0,8,0,7
25000,0,60000,,0,10,0,8
78000,0,80000,,8,11,0,9
40000,0,55000,,3,5,0,10
11000,0,30000,,0,5,0,11
67000,0,75000,,6,6,0,12
34000,0,35000,,10,2,0,13
27000,0,50000,,1,2,0,14
69000,0,85000,,5,0,0,15
49000,0,60000,,4,11,0,16
80000,0,85000,,8,7,0,17
24000,0,35000,,1,7,0,18
33000,0,80000,,0,10,0,19
28000,0,30000,,9,10,0,20
34000,0,50000,,1,7,0,21
25000,0,30000,,4,5,0,22
41000,0,75000,,1,1,0,23
54000,0,60000,,6,1,0,24
54000,0,80000,,1,7,0,25
22000,0,25000,,7,6,0,26
20000,0,55000,,0,5,0,27
54,0,55,117,,,0,1
55,0,75,61,,,0,2
19,0,25,53,,,0,3
31,0,85,7,,,0,4
14,0,25,19,,,0,5
47,0,50,160,,,0,6
15,0,35,13,,,0,7
25,0,60,14,,,0,8
78,0,80,162,,,0,9
40,0,55,62,,,0,10
11,0,30,7,,,0,11
67,0,75,119,,,0,12
34,0,35,186,,,0,13
27,0,50,21,,,0,14
69,0,85,91,,,0,15
49,0,60,89,,,0,16
80,0,85,157,,,0,17
24,0,35,29,,,0,18
33,0,80,14,,,0,19
28,0,30,179,,,0,20
34,0,50,30,,,0,21
25,0,30,80,,,0,22
41,0,75,20,,,0,23
54,0,60,111,,,0,24
54,0,80,30,,,0,25
22,0,25,136,,,0,26
20,0,55,7,,,0,27
