ImmediateAmount,ImmediateDelay,DelayedAmount,DelayedDelay,NowOnLeft,AttentionCheck
50,0,40,0,1,1
45,0,40,10,1,1
60,0,40,30,0,1
70,0,50,20,1,1
80,0,60,5,0,1
20,0,30,45,0,0
10,5,15,20,1,0
30,2,60,30,0,0
10,0,15,60,0,0
80,5,100,15,1,0
40,5,50,30,1,0
10,1,20,30,0,0
90,2,120,15,0,0
80,0,110,15,0,0
10,5,40,45,1,0
40,0,50,30,0,0
90,0,95,20,1,0
70,0,75,5,0,0
50,5,60,15,0,0
70,2,90,45,0,0
30,5,35,60,1,0
60,5,90,30,1,0
90,1,95,20,0,0
40,2,70,30,0,0
70,5,90,60,0,0
80,0,110,20,0,0
50,5,80,10,1,0
60,0,70,20,0,0
10,0,15,30,0,0
50,2,60,30,0,0
70,0,100,60,0,0
30,1,35,15,1,0
20,1,40,30,1,0
90,0,120,60,0,0
70,0,75,45,0,0
70,0,90,45,0,0
50,1,60,60,1,0
40,0,70,60,0,0
90,2,120,5,1,0
10,1,15,5,0,0
90,5,120,15,0,0
90,5,100,10,1,0
10,1,40,30,1,0
50,5,60,10,0,0
50,0,80,15,0,0
70,2,80,45,0,0
60,0,65,30,1,0
90,2,110,30,0,0
70,5,80,60,0,0
80,5,100,60,1,0
90,0,120,5,1,0
50,5,55,20,0,0
80,2,100,20,0,0
10,5,40,10,1,0
80,1,110,45,1,0
90,1,110,30,0,0
30,0,60,30,0,0
50,1,70,5,1,0
90,5,95,20,1,0
60,1,65,30,1,0
90,0,95,15,1,0
90,2,100,30,0,0
20,1,30,60,0,0
40,1,50,30,1,0
40,5,70,10,1,0
50,0,80,60,0,0
30,2,35,5,1,0
20,1,25,60,0,0
80,0,85,20,1,0
90,0,100,30,0,0
60,0,80,20,0,0
30,0,50,10,0,0
60,1,65,10,0,0
80,2,85,20,0,0
10,5,15,10,0,0
70,1,75,45,1,0
80,1,110,10,0,0
40,0,45,60,1,0
60,5,90,45,0,0
40,5,70,5,0,0
60,1,70,10,1,0
60,5,65,15,1,0
30,0,50,45,0,0
10,0,30,15,0,0
70,0,90,45,1,0
90,2,95,5,1,0
80,1,85,10,0,0
90,1,110,60,0,0
50,0,70,60,1,0
80,2,100,45,1,0
20,0,25,60,0,0
30,5,50,20,1,0
30,5,60,10,1,0
70,0,90,45,0,0
10,5,15,45,0,0
50,5,60,30,0,0
40,1,60,5,1,0
90,5,120,45,1,0
50,2,55,45,1,0
40,1,50,15,1,0
60,2,90,10,0,0
60,0,80,45,1,0
60,5,65,45,0,0
20,0,50,20,1,0
40,2,45,20,1,0
