trials,target,flanker,type,correct,congruency,faces
1,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_AC.bmp,prac,p,c,WM
2,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp,prac,q,c,BM
3,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp,prac,p,i,BM
4,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_AC.bmp,prac,p,c,WM
5,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_AC.bmp,prac,q,i,BM
6,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp,prac,p,i,WM
7,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM01/WM01_NC.bmp,prac,q,c,WM
8,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM01/BM01_AC.bmp,prac,q,i,BM
1,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM11/BM11_AC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM08/BM08_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM03/BM03_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM17/BM17_NC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BM/BM02/BM02_NC.bmp,exp,p,i,BM
2,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM03/WM03_NC.bmp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM12/WM12_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM02/WM02_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM08/WM08_AC.bmp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WM/WM13/WM13_AC.bmp,exp,q,i,WM
