trials,target,flanker,type,correct,congruency,faces
1,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_SC.webp,prac,p,c,WF
2,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.webp,prac,q,c,BF
3,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.webp,prac,p,i,BF
4,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_SC.webp,prac,p,c,WF
5,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_SC.webp,prac,q,i,BF
6,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.webp,prac,p,i,WF
7,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF01/WF01_NC.webp,prac,q,c,WF
8,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_NC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_SC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF01/BF01_SC.webp,prac,q,i,BF
1,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF06/WF06_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF08/WF08_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF14/WF14_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF02/WF02_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/WF/WF09/WF09_NC.webp,exp,p,i,WF
2,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF07/BF07_SC.webp,/RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF05/BF05_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF08/BF08_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF06/BF06_NC.webp; /RADIATE_BMP/RADIATE_450_COLOR_BMP/BF/BF12/BF12_NC.webp,exp,p,i,BF
