trials,target,flanker,type,correct,congruency
1,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,prac,p,c
2,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,prac,q,c
3,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,prac,p,i
4,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,prac,p,c
5,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,prac,q,i
6,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,prac,p,i
7,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,prac,q,c
8,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,prac,q,i
1,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
2,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
3,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
4,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
5,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
6,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
7,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
8,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
9,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
10,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
11,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
12,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
13,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
14,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
15,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
16,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
17,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
18,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
19,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
20,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
21,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
22,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
23,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
24,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
25,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
26,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
27,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
28,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
29,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
30,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
31,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
32,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
33,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
34,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
35,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
36,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
37,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
38,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
39,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
40,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
41,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
42,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
43,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
44,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
45,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
46,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
47,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
48,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
49,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
50,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
51,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
52,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
53,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
54,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
55,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
56,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
57,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
58,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
59,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
