trials,target,flanker,type,correct,congruency
1,>,>,prac,ArrowRight,c
2,<,<,prac,ArrowLeft,c
3,>,<,prac,ArrowRight,i
4,>,>,prac,ArrowRight,c
5,<,>,prac,ArrowLeft,i
6,>,<,prac,ArrowRight,i
7,<,<,prac,ArrowLeft,c
8,<,>,prac,ArrowLeft,i
1,<,<,exp,ArrowLeft,c
2,<,>,exp,ArrowLeft,i
3,>,<,exp,ArrowRight,i
4,>,<,exp,ArrowRight,i
5,<,<,exp,ArrowLeft,c
6,>,>,exp,ArrowRight,c
7,<,>,exp,ArrowLeft,i
8,<,>,exp,ArrowLeft,i
9,>,<,exp,ArrowRight,i
10,>,>,exp,ArrowRight,c
11,>,>,exp,ArrowRight,c
12,<,>,exp,ArrowLeft,i
13,<,>,exp,ArrowLeft,i
14,>,<,exp,ArrowRight,i
15,<,<,exp,ArrowLeft,c
16,<,>,exp,ArrowLeft,i
17,>,>,exp,ArrowRight,c
18,>,>,exp,ArrowRight,c
19,<,<,exp,ArrowLeft,c
20,<,>,exp,ArrowLeft,i
21,>,>,exp,ArrowRight,c
22,<,<,exp,ArrowLeft,c
23,>,<,exp,ArrowRight,i
24,>,>,exp,ArrowRight,c
25,>,<,exp,ArrowRight,i
26,<,<,exp,ArrowLeft,c
27,>,<,exp,ArrowRight,i
28,>,<,exp,ArrowRight,i
29,>,>,exp,ArrowRight,c
30,<,>,exp,ArrowLeft,i
31,>,>,exp,ArrowRight,c
32,<,>,exp,ArrowLeft,i
33,>,>,exp,ArrowRight,c
34,<,>,exp,ArrowLeft,i
35,>,>,exp,ArrowRight,c
36,>,<,exp,ArrowRight,i
37,>,>,exp,ArrowRight,c
38,<,>,exp,ArrowLeft,i
39,>,>,exp,ArrowRight,c
40,>,>,exp,ArrowRight,c
41,<,<,exp,ArrowLeft,c
42,>,<,exp,ArrowRight,i
43,>,>,exp,ArrowRight,c
44,>,>,exp,ArrowRight,c
45,<,<,exp,ArrowLeft,c
