trials,target,flanker,type,correct,congruency
1,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,prac,p,c
2,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,prac,q,c
3,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,prac,p,i
4,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,prac,p,c
5,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,prac,q,i
6,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,prac,p,i
7,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,prac,q,c
8,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,prac,q,i
1,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,exp,p,i
2,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,exp,q,c
3,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,exp,q,i
4,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,exp,p,c
5,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,exp,q,i
6,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,exp,q,c
7,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_HC.bmp,exp,p,i
8,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_BW_BMP\_RADIATE_BW_5\WM09\WM09_AC.bmp,exp,p,c
