trials,target,flanker,type,correct,congruency
1,>,>,prac,p,c
2,<,<,prac,q,c
3,>,<,prac,p,i
4,>,>,prac,p,c
5,<,>,prac,q,i
6,>,<,prac,p,i
7,<,<,prac,q,c
8,<,>,prac,q,i
1,>,>,exp,p,c
2,>,<,exp,p,i
3,<,<,exp,q,c
4,>,<,exp,p,i
5,>,<,exp,p,i
6,<,<,exp,q,c
7,<,>,exp,q,i
8,<,>,exp,q,i
9,>,>,exp,p,c
10,<,<,exp,q,c
11,>,<,exp,p,i
12,>,>,exp,p,c
13,<,>,exp,q,i
14,>,>,exp,p,c
15,>,<,exp,p,i
16,<,>,exp,q,i
17,<,<,exp,q,c
18,<,>,exp,q,i
19,>,>,exp,p,c
20,>,<,exp,p,i
21,<,>,exp,q,i
22,<,<,exp,q,c
23,<,<,exp,q,c
24,>,<,exp,p,i
25,>,<,exp,p,i
26,<,<,exp,q,c
27,>,<,exp,p,i
28,>,>,exp,p,c
29,>,>,exp,p,c
30,<,>,exp,q,i
31,<,<,exp,q,c
32,>,<,exp,p,i
33,<,<,exp,q,c
34,>,>,exp,p,c
35,<,>,exp,q,i
36,<,<,exp,q,c
37,<,>,exp,q,i
38,>,>,exp,p,c
39,<,>,exp,q,i
40,>,<,exp,p,i
41,<,<,exp,q,c
42,<,>,exp,q,i
43,>,>,exp,p,c
44,<,>,exp,q,i
45,<,>,exp,q,i
46,<,<,exp,q,c
47,>,>,exp,p,c
48,<,<,exp,q,c
49,<,>,exp,q,i
50,>,>,exp,p,c
51,>,>,exp,p,c
52,<,<,exp,q,c
53,>,<,exp,p,i
54,<,<,exp,q,c
55,>,<,exp,p,i
56,<,<,exp,q,c
57,>,>,exp,p,c
58,<,>,exp,q,i
59,>,>,exp,p,c
60,<,>,exp,q,i
61,<,>,exp,q,i
62,>,>,exp,p,c
63,>,<,exp,p,i
64,>,>,exp,p,c
65,<,>,exp,q,i
66,>,>,exp,p,c
67,<,>,exp,q,i
68,>,>,exp,p,c
69,<,>,exp,q,i
70,>,<,exp,p,i
71,<,<,exp,q,c
72,<,>,exp,q,i
73,>,>,exp,p,c
74,<,<,exp,q,c
75,<,<,exp,q,c
76,>,<,exp,p,i
77,>,>,exp,p,c
78,>,>,exp,p,c
79,<,>,exp,q,i
80,>,<,exp,p,i
81,>,>,exp,p,c
82,>,<,exp,p,i
83,<,>,exp,q,i
84,<,>,exp,q,i
85,>,>,exp,p,c
86,>,<,exp,p,i
87,<,<,exp,q,c
88,<,<,exp,q,c
89,>,<,exp,p,i
90,>,>,exp,p,c
91,>,<,exp,p,i
92,<,<,exp,q,c
93,>,<,exp,p,i
94,>,<,exp,p,i
95,>,>,exp,p,c
96,<,>,exp,q,i
97,>,>,exp,p,c
98,>,<,exp,p,i
99,>,>,exp,p,c
100,<,>,exp,q,i
101,<,>,exp,q,i
102,>,>,exp,p,c
103,>,<,exp,p,i
104,<,>,exp,q,i
105,<,>,exp,q,i
106,<,<,exp,q,c
107,>,>,exp,p,c
108,>,>,exp,p,c
109,>,<,exp,p,i
110,<,<,exp,q,c
111,<,>,exp,q,i
112,<,>,exp,q,i
113,>,>,exp,p,c
114,<,<,exp,q,c
115,>,<,exp,p,i
116,<,<,exp,q,c
117,<,<,exp,q,c
118,>,>,exp,p,c
119,>,<,exp,p,i
120,>,<,exp,p,i
121,<,<,exp,q,c
122,>,>,exp,p,c
123,>,>,exp,p,c
124,<,>,exp,q,i
125,>,>,exp,p,c
126,<,<,exp,q,c
127,<,<,exp,q,c
128,<,>,exp,q,i
129,>,>,exp,p,c
130,<,>,exp,q,i
131,<,<,exp,q,c
132,<,>,exp,q,i
133,>,<,exp,p,i
134,>,>,exp,p,c
135,<,>,exp,q,i
136,>,>,exp,p,c
137,>,<,exp,p,i
138,>,>,exp,p,c
139,<,>,exp,q,i
140,>,<,exp,p,i
141,<,<,exp,q,c
142,<,>,exp,q,i
143,>,>,exp,p,c
144,>,>,exp,p,c
145,>,>,exp,p,c
146,<,>,exp,q,i
147,>,<,exp,p,i
148,<,<,exp,q,c
149,<,<,exp,q,c
150,>,>,exp,p,c
151,<,>,exp,q,i
152,<,>,exp,q,i
153,<,<,exp,q,c
154,>,<,exp,p,i
155,<,<,exp,q,c
156,>,<,exp,p,i
157,<,>,exp,q,i
158,<,<,exp,q,c
159,<,>,exp,q,i
160,>,>,exp,p,c
161,<,>,exp,q,i
162,>,<,exp,p,i
163,<,<,exp,q,c
164,<,>,exp,q,i
165,<,<,exp,q,c
166,>,<,exp,p,i
167,<,>,exp,q,i
168,>,<,exp,p,i
169,<,<,exp,q,c
170,>,<,exp,p,i
171,<,<,exp,q,c
172,<,<,exp,q,c
173,>,<,exp,p,i
174,>,<,exp,p,i
175,<,<,exp,q,c
176,<,<,exp,q,c
177,>,<,exp,p,i
178,>,<,exp,p,i
179,<,<,exp,q,c
180,>,<,exp,p,i
181,<,<,exp,q,c
182,<,<,exp,q,c
183,>,>,exp,p,c
184,>,<,exp,p,i
185,>,<,exp,p,i
186,<,>,exp,q,i
187,>,>,exp,p,c
188,<,>,exp,q,i
189,>,>,exp,p,c
190,>,>,exp,p,c
191,<,>,exp,q,i
192,<,>,exp,q,i
193,<,<,exp,q,c
194,>,>,exp,p,c
195,>,<,exp,p,i
196,>,<,exp,p,i
197,<,<,exp,q,c
198,>,<,exp,p,i
199,<,<,exp,q,c
200,>,<,exp,p,i
