Participant,Session,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Max and his mother have just come home from the grocery store and are putting the groceries away. Max puts away the ice cream in the top drawer of the freezer and then goes outside to play. While Max is outside, his mother opens the freezer and moves the frozen waffles to the bottom drawer. 
When Max comes back inside, where is he going to look for the ice cream? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Sally and Anne are outside playing in the sandbox. Sally hides a red toy dog in the sand next to the sandcastle she is building, and then goes inside to get a drink of water. While Sally is inside the house, Anne takes a Lego piece and hides it under her bucket. 
When Sally comes back outside to play, where is she going to look for her red toy dog? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Judy and her father are planting flowers in the planter box to surprise her mother. Judy’s dad buries his trowel in the dirt next to the daffodils and then goes to the shed to get a bag of plant food. While Judy’s father is gone, Judy takes the trowel and leaves it buried next to the roses. 
When Judy’s father comes back, where is he going to look for his trowel?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Todd and Sam are playing with toys in the living room together. Todd puts a toy truck in the playbox and goes to the kitchen to get a snack. While Todd is gone, Sam takes the toy truck out of the playbox and hides it under the sofa. 
When Todd comes back, where is he going to look for the toy truck?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Gary and Helen have a shared Dropbox folder. Gary uploads a photo to the folder named /shared_folder/tmp then logs out of Dropbox. Helen then uploads a video and moves it to the folder named /shared_folder/photos. 
When Gary logs back into Dropbox, where is he going to look for the photo file? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Anna and Beth are going to a concert together. Anna has the tickets, and she puts them in the side pocket of her purse and then leaves her purse with Beth while she goes to the bathroom. While Anna is gone, Beth gets the tickets out to check their seats and then puts them back in the front pocket of Anna’s purse. 
When they go to the venue, where will Anna check for the tickets?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Michael and Thomas are on summer vacation near the beach. Michael puts an ice cube into his drink and then goes to swim in the sea for twenty minutes to cool down. While he is gone, Thomas takes the ice cube from Michael’s drink and puts it in his own. 
When Michael comes back, will he be surprised to find his ice cube is not in his drink? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Martha and Georgina are tiding up the toys in the playroom, and they put the coloured pencils in the top drawer of a cabinet. Martha then leaves the playroom to go to the bathroom. While she’s away, Georgina moves the toy train to the bottom drawer of the cabinet. 
When Martha comes back, where is she going to look for the pencils?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Every time Grace visits her grandmother, she is allowed to take a chocolate biscuit from the tin in the living room. One day when Grace is not visiting, her grandmother decides to use the biscuit tin for her sewing tools and moves the chocolate biscuits to a shelf in the kitchen. 
When Grace next visits, where will she look for a chocolate biscuit? ",,,,,,,
,,Answer1,Score1,Answer2,Score2,Answer3,Score3,Answer4,Score4,Answer5,Score5,Answer6,Score6,Answer7,Score7,Answer8,Score8,Answer9,Score9,,,,,,
Human,1,Top drawer of the freezer,1,In the sand next to the castle,1,Dirt next to the daffodils,1,Toy truck in the play box,1,Named/shared _folder,0,Side pocket of her purse,1,Yes he will,0,Top drawer of the cabinet,1,Tin in the living room,1,,,,,,
Human,2,top drawer of the freezer,1,in the sand next to the sand castle she is building,1,in the dirt next to the daffodils,1,in the play box,1,in the folder shared_folder/temp,1,side pocket of her purse,1,no,1,top drawer of cabinet,1,tun in living room,1,,,,,,
Human,3,The top drawer of the freezer,1,In the sand next to the sandcastle she built,1,In the dirt next to the daffodils.,1,in the playbox,1,in the folder named /shared_folder/tmp,1,in the side pocket of her purse,1,"No, he'll assume its melted.",1,in the top drawer of a cabinet,1,the tin in the living room,1,,,,,,
Human,4,Max is going to look for the ice cream in the top drawer of the freezer.,1,Sall is going to look for her red toy dog next to the sandcastle.,1,Judy's father will look for the trowel in the dirt next to the daffodils.,1,Todd will look for the toy truck in the playbox.,1,Gary will go to /shared_folder/tmp to look for the photo file.,1,Anna will check the side pocket of her purse for the tickets.,1,"Michael would not be suprised to find his ice cube in the drink as after twenty minutes, it would be expected to have melted.",1,Martha will look for the pencils in the top drawer of the cabinet.,1,Grace will look for the chocolate buscuit in the tin in the living room.,1,,,,,,
Human,5,He will look in the top drawer of the freezer as that's where he put it,1,She will look next to the sand castle,1,In the dirt next to the daffodils,1,He will look in the play box,1,The Dropbox folder named /shared_folder/tmp,1,In the side pocket of her purse,1,No he won't be surprised as it probably would have melted within 20 minutes,1,In the top drawer of the cabinet and they will be there as they weren't moved by Georgina,1,She will look in the tin in the living room,1,,,,,,
Human,6,Top drawer,1,In the sand,1,By the daffodils,1,In the playbox,1,Tmp,1,Side pocket,1,No,1,Top drawer,1,Living Room,1,,,,,,
Human,7,Top drawer of freezer,1,In the sand next to sandcastle,1,Next to the daffodils,1,Playbox,1,"Probably in the tmp folder but he'll work out where it is, he's a smart cookie",1,Side pockets of purse,1,Probably not. Could have easily melted,1,Top drawer of cabinet,1,The tin,1,,,,,,
Human,8,He is most likely to look for the ice cream where he left it in the top drawer,1,In the sand next to the castle she is building,1,In the dirt next to his daffodils,1,In the play box,1,/shared_folder/tmp,1,Side pocket of her purse,1,Probably not giving that he was gone for 20 mins - he is likely to think it melted,1,Top drawer of cabinet,1,The tin jn the living room,1,,,,,,
