Participant,Session,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

The politician had taken his assistant along to his conference; there were hundreds of other attendees there. ‘Clearly people want to hear you speak’, mused the assistant. 
Did the assistant think people want to hear the politician speak?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

John and Mary were sitting in the newspaper office, reading through a huge pile of fan mail. ‘Obviously our readers liked your story’, said John. 
Did John think the readers liked the story?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Sylvia looked round at the empty function hall, before walking over to Jane. ‘Clearly people were keen on coming to your party’, giggled Sylvia. 
Did Sylvia think people were keen on coming to the party?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Miss Edwards was looking at the long list of ‘A’s on the exam results board. ‘I see your students have got good grades’, exclaimed her colleague.
Did Miss Edwards' colleague think that her students got good grades?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Emma scanned the shelves at Ann’s book launch; the book had sold well. ‘I see people have rushed in to buy your new book’, Emma exclaimed. 
Did Emma think people want to buy Ann’s new book?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

It was results day and Michael got the lowest grade in class again. ‘I see you are very smart’, commented his best friend. 
Did Michael’s best friend think Michael is smart?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Paul peeked into his son Billy’s bedroom; Billy was completely absorbed in his history textbook. ‘I knew my son would be revising hard for his exam’, Paul said to his wife. 
Did Paul think his son was revising hard for his exam?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

It was Valentine’s Day and Jamie had received no cards. ‘It appears the girls really fancy you’, laughed his flatmate. 
Did the flatmate think the girls really fancy Jamie?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

A group of health volunteers were visiting a village with lots of underweight children. ‘It seems that these villagers are very well fed’, said one of the volunteers. 
Did the volunteer think the villagers were well fed?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Joe evaluated the small number of tickets sold for Justin’s concert. ‘I see people are desperate to listen to you sing’, he said. 
Did Joe think people were desperate to listen to Justin sing?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Cheryl noticed there were some flowers by Lisa’s bed. ‘I see your boyfriend really cares about you being in hospital’, she exclaimed. 
Did Cheryl think Lisa’s boyfriend cared about Lisa?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Alice looked at the huge piles of leftovers after her dinner party. ‘I see people enjoyed their food’, said Bill. 
Did Bill think people enjoyed their food?",
,,Answer1,Score1,Answer2,Score2,Answer3,Score3,Answer4,Score4,Answer5,Score5,Answer6,Score6,Answer7,Score7,Answer8,Score8,Answer9,Score9,Answer10,Score10,Answer11,Score11,Answer12,Score12
Human,1,"No, he made a statement based on the number of attendees.",0,"Yes, because of the huge amount of fan mail received.",1,"No, she was being sarcastic and making fun of Jane.",1,"Yes, she made a statement because of the long list of A's.",1,"No, she exclaimed her statement which means she was surprised that the book sold well.",0,"No, he was being sarcastic.",1,"Yes, he saw his son studying hard for history.",1,"No, his flatmate was being sarcastic.",1,"No, it is a sarcastic statement because the kids are underweight.",1,"No, only a small number of tickets were sold.",1,"Yes, because he had sent Lisa flowers.",1,"No, his answer is sarcastic because there was a lot of leftovers.",1
Human,2,Yes the assistant thought that people want to hear the politician speak.,1,Yes John thought the readers liked Mary's story because of the fan mail.,1,Yes Sylvia thought peopler were keen to come to Jane's party.,0,We don't know for sure what Miss Edwards was thinking but going by the fact that the long list of A's is what she was looking at then perhaps this could be assumed.,1,Yes Emma though that people want to buy Anne's book.,1,No Michael's friend was probably being sarcastic.,1,Yes Paul thought his son was revising hard for his exam.,1,No the flatmate was being sarcastic.,1,No the volunteer probably did not think that since they were underweight.,1,No Joe was being sarcastic.,1,Yes Cheryl thouoght Lisa's boyfriend cared about her.,1,No Bill was being sarcastic,1
Human,3,Yes,1,Yes,1,No,1,Yes,1,Yes,1,No,1,Yes,1,No,1,No,1,No,1,Yes,1,No,1
Human,4,Yes,1,Yes,1,Yes,0,Yes,1,Yes,1,No,1,Yes,1,No,1,No,1,No,1,Yes,1,No,1
Human,5,"Yes, depending on the attendees, he implied that.",1,Yes. Mary's story.,1,No.,1,Yes,1,Yes,1,No,1,Yes,1,No,1,No,1,No,1,Yes,1,No,1
Human,6,yes I think the assistat thought the other attendees at the conference wanted to hear the politician speak.,1,Yes I think John thought readers liked the story - he thought it was obvious due to the huge pile of fan mail.,1,"No, Sylvia was being sarcastic, saying that ""clearly"" people wanted to come to the party when in fact the room was empty.",1,"Yes, it would seem that Miss Edwards' colleague was complimenting her on the amount of her students who attained good grades.",1,Yes Emma though people wanted to buy Ann's book as lots of copies of the book had sold at the book launch.,1,No Michael does not think his friend is smart. He is using sarcasm to highlight the fact that the friend got the lowest grade again.,1,Yes I think Paul hoped Billy would be revising hard and he was proved right when he peeked into the room and saw Billy reading his history textbook.,1,No the flatmate is being unkind to Jamie and making fun of the fact that he recieved no cards on Valentine's Day.,1,No the volunteer did not think the villagers were well-fed - the volunteer was being sarcastic and using the opposite of reality to show that the villagers were not well-fed.,1,"No, Joe was being sarcastic and does not think people want to hear Justin sing, given that only a few tickets for Justin's concert were sold.",1,I am not sure whether Cheryl thinks Lisa's boyfriend cares about Lisa as there is no information on who the flowers were from in the story.,0,"No Bill did not think people enjoyed teh food at Alice's party, since lots of it was left over.",1
Human,7,Yes she did,1,Yes,1,No,1,Yes,1,Yes,1,No,1,Yes,1,No,1,No,1,No,1,Yes,1,No,1
Human,8,Yes,1,Yes,1,yes,0,yes,1,yes,1,yes,0,yes,1,no,1,no,1,no,1,yes,1,no,1
