Participant,Session,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

The politician had taken his assistant along to his conference; there were almost no other attendees there. ‘Clearly people want to hear you speak’, mused the assistant. 
Did the assistant think people want to hear the politician speak?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

John and Mary were sitting in the newspaper office, reading through a huge pile of hate mail. ‘Obviously our readers liked your story’, said John. 
Did John think the readers liked the story?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Sylvia looked round at the crowded function hall, before walking over to Jane. ‘Clearly people were keen on coming to your party’, giggled Sylvia. 
Did Sylvia think people were keen on coming to the party?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Miss Edwards was looking at the long list of ‘F’s on the exam results board. ‘I see your students have got good grades’, exclaimed her colleague. 
Did the colleague think many of Miss Edwards’ students got good grades?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Emma scanned the shelves at Ann’s book launch; the book hadn’t sold well. ‘I see people have rushed in to buy your new book’, Emma exclaimed. 
Did Emma think people want to buy Ann’s new book?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

It was results day and Michael got the highest grade in class again. ‘I see you are very smart’, commented his best friend. 
Did Michael’s best friend think Michael is smart?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Paul peeked into his son Billy’s bedroom; Billy was completely absorbed in his computer game. ‘I knew my son would be revising hard for his exam’, Paul said to his wife. 
Did Paul think his son was revising hard for his exam?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

It was Valentine’s Day and Jamie had received many cards. ‘It appears the girls really fancy you’, laughed his flatmate.
Did the flatmate think the girls really fancy Jamie?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

A group of health volunteers were visiting a village with lots of overweight children. ‘It seems that these villagers are very well fed’, said one of the volunteers. 
Did the volunteer think the villagers were well fed?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Joe evaluated the large number of tickets sold for Justin’s concert. ‘I see people are desperate to listen to you sing’, he said. 
Did Joe think people were desperate to listen to Justin sing?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Cheryl noticed there were no flowers by Lisa’s bed. ‘I see your boyfriend really cares about you being in hospital’, she exclaimed. 
Did Cheryl think Lisa’s boyfriend cared about Lisa?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Alice looked at the stack of empty plates after her dinner party. ‘I see people enjoyed their food’, said Bill. 
Did Bill think people enjoyed their food?",
,,Answer1,Score1,Answer2,Score2,Answer3,Score3,Answer4,Score4,Answer5,Score5,Answer6,Score6,Answer7,Score7,Answer8,Score8,Answer9,Score9,Answer10,Score10,Answer11,Score11,Answer12,Score12
Human,1,No the assistant was being sarcastic,1,No John did not think readers liked the story he is being ironic,1,Yes Sylvia thought people were keen on coming to the party,1,No they did not,1,No Emma didn't think people wanted to buy Ann's new book,1,Yes the best friend thinks Michael is smart,1,No he did not,1,Yes the girls fancy Jamie,1,Yes but it is a sarcastic comment,1,Yes joe thinks people are keen to listen to Justin sing,1,No Cheryl does not think Lisa's boyfriend cares,1,Yes he does,1
Human,2,"No, the assistant was being sarcastic",1,"No, John was trying to be funny, this might have been a bit unkind or amusing to Mary depending on the context and their relationship.",1,Yes she did think that.,1,"No the colleague did not think that, they were being sarcastic.",1,no she did not think that.,1,yes he did think that Michael was smart.,1,"no, he didn't think that",1,yes,1,"no, they did not think that",0,yes,1,no,1,yes,1
Human,3,No,1,No,1,yes,1,No,1,no,1,yes,1,no,1,yes,1,yes,1,yes,1,no,1,yes,1
Human,4,"No, the assistant was being sarcastic.",1,"No, John was being sarcastic.",1,Yes,1,"No, the colleage was being sarcastic.",1,No,1,Yes,1,No,1,Yes,1,"Yes, the volunteer noticed the amount of overweight children.",1,"Yes, Joe knew there were many tickets sold.",1,"No, Cheryl was being sarcastic regarding the lack of flowers.",1,"Yes, Bill understood the stack of empty plates implied everyone had cleared their plates.",1
Human,5,"Yes, I think the assistant wants to hear the politician speak.",0,"No, the readers did not like John's story which was indicative of all the hate mail he received.",1,"Yes, people were keen on being at the party because the room was very crowded with partygoers.",1,"No, Miss Edwards's students did not get good grades and her colleague might have been mocking her about it too.",1,"No, Emma did not think people wanted to buy Ann's book and was very sarcastic in her response to her.",1,"Yes, Michael's best friend did think he was very smart and complimented him on it because Michael received the highest grade in the class.",1,"No, Paul did not think his son was revising for his exams, because his son was busy playing computer games, so Paul lied to his wife about it.",0,"Yes, Jamie's flatmate thought Jamie was popular with the ladies, and that they really fancied him, by how many cards he received from them.",1,"Yes, the volunteer thought the children were very well fed by how overweight they were.",1,"Yes, Joe thought people were desperate to listen to Justin's music because of how many tickets were sold out, which probably surprised Joe.",1,"No, Cheryl did not think that Lisa's boyfriend cared about her because of the lack of flowers at her hospital bedside.",1,"Yes, judging by the empty plates left after the dinner party Alice had, people really enjoyed her food.",1
Human,6,Yes,0,No,1,Yes,1,"No, the colleague was being sarcastic.",1,No,1,Yes. Michael got the highest grade so his friend must have been happy for him.,1,No. Paul was either trying to protect his son from his mom or just being sarcastic.,1,Yes,1,Yes but the volunteer was also suggesting that the villagers were fat.,1,Yes,1,No because there were no flowers by Lisa's bed,1,Yes,1
Human,7,Yes,0,No,1,Yes,1,No,1,No,1,Yes,1,No,1,Yes,1,Yes,1,Yes,1,No,1,Yes,1
Human,8,Yes,0,Yes,0,Yes,1,Yes,0,No,1,Yes,1,No,1,Yes,1,Yes,1,Yes,1,No,1,Yes,1
Human,9,Yes,0,No,1,Yes,1,No,1,Yes,0,Yes,1,No,1,Yes,1,Yes,1,Yes,1,No,1,Yes,1
Human,10,"No, the assistant was being sarcastic. if people wanted to hear him speak, they would have gone to the meeting.",1,No. John was being sarcastic. People wouldn't send hate mail if they liked a story.,1,"Yes, it was crowded so people wanted to be at the party.",1,No. F is a fail and the teacher would know the grades were not good. it was a rude comment disguised as a joke.,1,No. It was a sarcastic comment designed to hurt but disguised as funny.,1,Yes. It was a fact based on the numbers.,1,No. he was being sarcastic.,1,"Yes, lots of cards would suggest they do.",1,"Yes as they were overweight. It was not meant as a compliment though, but as a synonym for fat.",1,Yes. Good ticket sales.,1,No she assumed he didn't care as had not sent flowers.,1,"Yes, as plates were empty",1
Human,11,No,1,No,1,Yes,1,No,1,No,1,Yes,1,No,1,Yes,1,Yes,1,Yes,1,No,1,Yes,1
Human,12,No. The assistant was being sarcastic. If the assistant got on well with the political they may have been trying to be amusing to lighten the mood.,1,No. John was being sarcastic or ironic depending on his relationship with Mary.,1,No. As Sylvia was giggling there was probably no party. The fullness of the function room was probably not related to a social occasion for Jane and it was a joke. It may however have been something that Jane was involved in organising.,0,No. The colleague was being sarcastic or ironic depending on their relationship with Miss Edwards.,1,No. Emma was was being sarcastic or ironic depending on her relationship with Ann.,1,Yes.,1,No if he could see/hear the computer game. Possibly if he just looked quickly and assumed that his son was revising.,1,"Yes, unless he knew the cards were a joke.",1,Yes but not in a healthy sort of way!,1,Yes as there was a large number of tickets sold.,1,No but she was judging him purely by the lack of flowers.,1,Yes as the plates were empty.,1
Human,13,Yes,0,No,1,Yes,1,No,1,No,1,Yes,1,No,1,Yes,1,Yes,1,Yes,1,No,1,Yes,1
Human,14,No,1,No,1,Yes,1,No,1,No,1,Yes,1,Yes,0,Yes,1,Yes,1,Yes,1,No,1,Yes,1
Human,15,"No, the assistant was being sarcastic",1,John didn't think the readers that sent the hate mail liked the story,1,Yes,1,No the colleague was being sarcastic,1,"No, Emma was being rude",1,Yes,1,"No, Paul was using sarcasm",1,"Possibly, the flatmste might of been being sarcastic but it doesn't appear so",1,Yes as the children were obviously overweight,1,As a large number of tickets were sold it would appear people did want to listen to Justin sing and Joe was being sincere,1,"Cheryl was being sarcastic, however maybe Lisa's boyfriend was showing that he acted in other ways",1,I would say that Bill was being sincere,1
Human,16,"no the assistant didn't think people wanted to hear he politician speak, they were being sarcastic.",1,no john was being sarcastic as they were reading hate mail.,1,yes as the hall was full.,1,no the colleague was being sarcastic,1,no,1,yes,1,no,1,no,0,yes,1,yes,1,no,1,yes,1
Human,17,Yes,0,No he was being sarcastic,1,Yes she did,1,No the colleague was being sarcastic,1,"No, Emma was being sarcastic",1,Yes he does,1,"No, Paul was being sarcastic",1,Yes he did,1,Yes she did,1,Yes he does,1,"No, she was beign sarcastic",1,Yes Bill did,1
Human,18,No,1,No,1,Yes,1,No,1,"No, Emma was being sarcastic",1,Yes,1,No,1,Yes,1,Yes,1,Yes,1,No,1,Yes,1
Human,19,Assuming the assistants reply was ironic and meant no,1,No,1,Yes,1,No,1,No,1,Yes,1,No,1,Yes,1,Yes,1,Yes,1,No,1,Yes,1
Human,20,No,1,no,1,yes,1,no,1,no,1,yes,1,no,1,yes,1,yes,1,yes,1,no,1,yes,1
Human,21,No,1,No,1,Yes,1,No,1,No,1,Yes,1,No,1,yes,1,yes,1,yes,1,no,1,yes,1
Human,22,"no, she was being sarcastic",1,"No, he was being sarcastic",1,I think she thought it would be quiet and is surprised,1,"no, she was being sarcastic",1,"No she didnt, she was being sarcastic",1,yes he did think he was smart,1,"no he didnt, he knew he wouldnt be studying",1,i think she thought we woudnt get any cards and was surprised,1,"I think the volunteer made a joke, although technically true they are still unhealthy",0,yes he did,1,"she was being sarcastic, no she doesnt think he cares",1,yes he did,1
Human,23,"The assistant thought that because there were no other attendees there, people didn't want to hear him speak, but was trying to diffuse the situation with humour.",1,He did not. This is sarcasm.,1,Sylvia did think poeple were keen on coming to the party because there were lots of people in the function hall.,1,"No, becase Fs are not a good grade so this is sarcasm.",1,No - and is this context the sarcasm is a bit mean.,1,"Yes, becaus he got the highest grade in the class again.",1,No.,1,yes,1,yes,1,yes,1,no,1,yes,1
Human,24,No. It appears he or she was being sarcastic,1,No he didn't,1,Yes she did,1,No she didn't,1,No she didn't,1,Yes he did,1,No he didn't,1,Yes he did,1,Yes he did,1,Yes he did,1,No she didn't,1,Yes he did,1
Human,25,No she didn't.,1,No he didn't.,1,Yes she did.,1,No she didn't.,1,No she didn't.,1,Yes he did.,1,No he did not.,1,Yes' the flatmate thought the girls fancied Jamie.,1,No' The volunteer thought the children were overweight.,0,Yes' Joe did think that people were desperate to listen to Justin sing.,1,No. Cheryl did not think that Lisa's boyfriend cared about Lisa.,1,Yes' Bill thought that people enjoyed their food.,1
Human,26,No,1,No,1,Yes,1,No,1,No,1,Yes,1,No,1,Yes,1,Yes,1,Yes,1,No,1,Yes,1
GPT-4,1,"The assistant's statement, ""Clearly people want to hear you speak,"" is likely sarcastic, considering there were almost no other attendees at the conference. So, it seems that the assistant did not actually think people wanted to hear the politician speak.",1,"John's statement, ""Obviously our readers liked your story,"" is likely sarcastic, considering he and Mary were going through a huge pile of hate mail. So, it seems that John did not actually think the readers liked the story.",1,"Yes, Sylvia thought people were keen on coming to the party, as she mentioned it to Jane with a giggle.",1,"The colleague's statement, ""I see your students have got good grades,"" is likely sarcastic, considering Miss Edwards was looking at a long list of 'F's on the exam results board. So, it seems that the colleague did not actually think many of Miss Edwards' students got good grades.",1,"Emma's statement, ""I see people have rushed in to buy your new book,"" is likely sarcastic, considering the book hadn't sold well at the book launch. So, it seems that Emma did not actually think people wanted to buy Ann's new book.",1,"Yes, Michael's best friend thought Michael is smart, as indicated by the comment, ""I see you are very smart.""",1,"Paul's statement, ""I knew my son would be revising hard for his exam,"" is likely sarcastic, considering he saw Billy completely absorbed in his computer game instead of studying. So, it seems that Paul did not actually think his son was revising hard for his exam.",1,"Yes, the flatmate thought the girls really fancy Jamie, as indicated by the statement, ""It appears the girls really fancy you,"" followed by a laugh. The fact that Jamie received many cards on Valentine's Day supports this notion.",1,"Yes, the volunteer thought the villagers were well fed, as indicated by the statement, ""It seems that these villagers are very well fed."" The context suggests that the volunteer was referring to the high number of overweight children in the village.",1,"Yes, Joe thought people were desperate to listen to Justin sing, as indicated by his statement, ""I see people are desperate to listen to you sing."" The large number of tickets sold for Justin's concert supports this notion.",1,"Cheryl's statement, ""I see your boyfriend really cares about you being in hospital,"" is likely sarcastic, considering she noticed there were no flowers by Lisa's bed. So, it seems that Cheryl did not actually think Lisa's boyfriend cared about Lisa being in the hospital.",1,"Yes, Bill thought people enjoyed their food, as indicated by his statement, ""I see people enjoyed their food."" The stack of empty plates after the dinner party suggests that the guests ate all of their food, implying they enjoyed it.",1
