Participant,Session,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Max and his mother have just come home from the grocery store and are putting the groceries away. Max puts away the ice cream in the top drawer of the freezer and then goes outside to play. While Max is outside, his mother opens the freezer and moves the ice cream to the bottom drawer. 
When Max comes back inside, where is he going to look for the ice cream? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Sally and Anne are outside playing in the sandbox. Sally hides a red toy dog in the sand next to the sandcastle she is building, and then goes inside to get a drink of water. While Sally is inside the house, Anne finds the red toy dog and hides it under her bucket. 
When Sally comes back outside to play, where is she going to look for her red toy dog? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

 Judy and her father are planting flowers in the planter box to surprise her mother. Judy’s dad buries his trowel in the dirt next to the daffodils and then goes to the shed to get a bag of plant food. While Judy’s father is gone, Judy takes some scissors and leaves them buried next to the roses. 
When Judy’s father comes back, where is he going to look for his trowel?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Todd and Sam are playing with toys in the living room together. Todd puts a toy truck in the playbox and goes to the kitchen to get a snack. While Todd is gone, Sam takes an action figure out of the playbox and hides it under the sofa. 
When Todd comes back, where is he going to look for the toy truck?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Gary and Helen have a shared Dropbox folder. Gary uploads a photo to the folder named /shared_folder/tmp then logs out of Dropbox. Helen then finds the photo and moves it to the folder named /shared_folder/photos. 
When Gary logs back into Dropbox, where is he going to look for the photo file? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Anna and Beth are going to a concert together. Anna has the tickets, and she puts them in the side pocket of her purse and then leaves her purse with Beth while she goes to the bathroom. While Anna is gone, Beth takes out a compact mirror and puts it in the front pocket of Anna’s purse. 
When they go to the venue, where will Anna check for the tickets?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Michael and Thomas are on summer vacation near the beach. Michael puts an ice cube into his drink and then goes to swim in the sea for twenty minutes to cool down. While he is gone, Thomas takes the ice cube from Michael’s drink and puts it in his own. 
When Michael comes back, will he be surprised to find his ice cube is not in his drink? ",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Martha and Georgina are tiding up the toys in the playroom, and they put the coloured pencils in the top drawer of a cabinet. Martha then leaves the playroom to go to the bathroom. While she’s away, Georgina moves the pencils to the bottom drawer of the cabinet. 
When Martha comes back, where is she going to look for the pencils?",,"I am going to tell you a short story about some people. At the end of this story a person will say or do something. 
When I’ve finished telling it I will ask you some questions about what happened in the story

Every time Grace visits her grandmother, she is allowed to take a chocolate biscuit from the tin in the living room. One day when Grace is in the living room, her grandmother decides to use the biscuit tin for her sewing tools and moves the chocolate biscuits to a shelf in the kitchen. 
When Grace next visits, where will she look for a chocolate biscuit? ",,,,,,,
,,Answer1,Score1,Answer2,Score2,Answer3,Score3,Answer4,Score4,Answer5,Score5,Answer6,Score6,Answer7,Score7,Answer8,Score8,Answer9,Score9,,,,,,
Human,1,The top drawer of the freezer,1,in the sand next to the sandcastle she is building,1,in the dirt next to the daffodils,1,in the playbox,1,in the folder named /shared_folder/tmp,1,in the side pocket of her purse,1,No - he would expect it to have melted in that time,1,in the top drawer of a cabinet,1,i would expect her to check the shelf in the kitchen first,1,,,,,,
Human,2,Max would look in the top drawer of the freezer.,1,Sally would look in the sand next to the sandcastle she is building.,1,Judy's dad would look in the dirt where he buried his trowel next to the daffodils.,1,Todd would look in the playbox in the living room.,1,Gary would look in the folder he originally saved it in.,1,Anna would look in the side pocket of her purse.,1,I should imagine he wouldn't be surprised as it would have been hot so the ice cube would have melted.,1,Martha would look in the top drawer of the cabinet.,1,I imagine her grandmother would have made her aware the biscuits were no longer in the tin and they had moved to the kitchen.,0,,,,,,
Human,3,He will look in the top drawer of the freezer.,1,In the sand next to the sandcastle she was building,1,In the dirt next to the daffodils,1,In the play box,1,In the folder named /shared_folder/tmp,1,In the side pocket of her purse,1,No he won't be because after 20 minutes in the sun the ice cube would have melted anyway.,1,The top drawer of the cabinet,1,In the tin in the living room,0,,,,,,
Human,4,He will look in the top drawer as thats where he put it and hes unaware his mother moved it.,1,Where she left it next to the sandcastle,1,Where he has burried them as they have not been moved,1,In the playbox where he left it as it has not been moved,1,"in the folder he put it in, as he will be unaware its been moved",1,In her side pocket where she left them,1,no as it might jst have melted,1,in the top drawer of the cabinet,1,in the tin in the living room,0,,,,,,
Human,5,Max will look in the top drawer of the freezer.,1,Sally will look for her red toy dog next to the sandcastle she was building.,1,Judy's father will look for his trowel in the dirt next to the daffodils.,1,Todd will look for the toy truck in the playbox.,1,Greg will look for the photo in the folder named/shared_folder/tmp,1,Anna will check the side pocket of her purse for the tickets.,1,Michael will not be surprised to not find his ice cube in his drink as he will expect it to have melted.,1,Martha will look for the pencils in the top drawer of the cabinet.,1,Grace will look for chocolate biscuits tin in the living room.,0,,,,,,
Human,6,Max is going to look in the top drawer of the freezer,1,She will look in the sand next to the sandcastle she built,1,In the dirt next to the daffodils,1,In the playbox,1,In the folder he put it /shared_folder/tmp,1,Side pocket of her purse,1,No because it could have melted by that point anyway,1,Top drawer of a cabinet,1,Chocolate biscuit tin in the living room,0,,,,,,
Human,7,The top drawer of the freezer,1,"In the sandbox, next to the sandcastle she is building",1,"In the dirt, next to the daffodils",1,In the playbox,1,In the folder named /shared_folder/tmp,1,In the side pocket of her purse,1,"Maybe not, as twenty minutes have passedhe might have expected the ice to have melted",1,In the top drawer of a cabinet,1,In the tin in the living room,0,,,,,,
Human,8,The top drawer of the freezer,1,Sand next to the sandcastle,1,dirt next to the daffodils,1,the playbox,1,the folder named /shared_folder/tmp,1,side pocket of her purse,1,yes,0,top drawer,1,tin in the living room,0,,,,,,
Human,9,The top drawer.,1,In the sand next to the sandcastle.,1,The dirt next to the daffodils.,1,In the playbox.,1,/shared_folder/tmp,1,The side pocket of her purse.,1,"No, because it would have melted.",1,The top drawer of the cabinet.,1,"The kitchen shelf, because she was present when the decison was made to move them.",1,,,,,,
Human,10,Top drawer of the freezer.,1,In the sans next to sandcastle she was building.,1,In the dirt next to the daffodils.,1,In the playbox.,1,In the folder named shared_folder/tmp,1,In the side pocket of her purse.,1,"No, he will assume it melted in the heat.",1,The top drawer of the cabinet.,1,The tin in the living room.,0,,,,,,
Human,11,top drawer,1,In the sand next to the sandcastle,1,In the dirt next to the daffodils,1,In the playbox,1,he is going to look for it in the folder named /shared_folder/tmp.,1,She will check for the tickets in the side pockect of her purse.,1,"No, he will not be surprised because even if Thomas took the ice cube; 20 minutes later on a hot sunny day the ice cube would have melted by the time Michael returns to his drink.",1,In the top drawer of the cabinet,1,In the shelf in the kitchen,1,,,,,,
Human,12,"First the top drawer, then the bottom drawer.",1,"In the sand, next to the sandcastle she built earlier.",1,"In the dirt, next to the daffodils.",1,In the playbox.,1,"In the shared folder, but may have trouble finding the photo file.",0,The side pocket of her purse,1,"Probably not, the ice cube would have melted anyway. However, he may be surprised his drink is warm.",1,The top drawer first.,1,"The sewing tin, unless Grace's grandmother has let her know about the changes prior.",0,,,,,,
Human,13,In the top drawer,1,In the sand next to the sandcastle she is building.,1,Next to the daffodils,1,In the playbox.,1,in the shared folder,0,In the side pocket of her purse.,1,"No, because it will have melted anyway.",1,In the top drawer of a cabinet.,1,In the tin in the living room.,0,,,,,,
Human,14,"Max is going to look for the ice cream in the top drawer of the freezer, because he put it there.",1,Sally will look for the red toy dog in the sand next to the sandcastle she is building.,1,He is going to look for it in the dirt next to the daffodils.,1,He is going to look in the playbox.,1,He is going to look for it in the folder named /shares_folder/tmp,1,In the side pocket of her purse.,1,"No, he won't be surprised because even if Thomas didn't take the ice, the ice would have melted in his drink by the time.",1,In the top drawer of a cabinet.,1,In the chocolate biscuit tin in the living room.,0,,,,,,
Human,15,Max will look for the ice cream in the top drawer of the freezer.,1,Sally will look for her red toy dog in the sand next to the sandcastle she is building.,1,Judy’s dad will look for his trowel in the dirt next to the daffodils.,1,When Todd comes back he is going to look for the toy truck in the playbox.,1,"When Gary logs back into Dropbox, he is going to look for the photo file in the folder named /shared_folder/tmp.",1,Anna will check for the tickets in the side pocket of her purse.,1,"Michael will probably not be that surprised that the ice cube is not in his drink, as he will presume that it has melted while he was swimming.",1,When Martha comes back she is going to look for the pencils in the top drawer of the cabinet.,1,"When Grace next visits, she will look for a chocolate biscuit on a shelf in the kitchen if she has seen grandmother move them there while she was in the living room with her.",1,,,,,,
Human,16,Max will look for the ice cream in the top drawer of the freezer.,1,Sally will look for her red dog toy in the sand next to the sandcastle when she comes back outside to play.,1,Judy's father will look for his trowel in the dirt next to the daffodils where he buried it.,1,Todd will look for the toy truck in the playbox.,1,Gary will look for the photo file in the /shared_folder/tmp folder.,1,Anna will check for the tickets in the side pocket of her purse.,1,Michael might be surprised the ice cube is gone. However as the ambient temperature appears to be hot he might also assume the ice cube has melted rather than surmising that Thomas has taken it.,0,Martha will look for the pencils in the top drawer of the cabinet when she comes back.,1,When Grace next visits she will look for the chocolate biscuits in the tin in the living room.,0,,,,,,
Human,17,Max will look in the top drawer of the freezer.,1,Sally is going to look in the sand next to the sandcastle.,1,Judy's father is going to look for the trowel in the dirt next to the daffodils.,1,Todd is going to look for the toy truck in the playbox.,1,gary is going to look for the photo in the folder named /shared_folder/tmp.,1,Anna will check for the tickets in the side pocket of her purse.,1,"Yes, he will be surprised to find that his ice cube is not in his drink!",0,Martha will look for the coloured pencils in the top drawer of the cabinet.,1,"Grace will look for a biscuit in the tin, but she will be surprised when she finds sewing tools instead.",0,,,,,,
